mo,solar_radiation,mn
January,3.68,1
February,4.32,2
March,5.09,3
April,5.84,4
May,6.01,5
June,6.73,6
July,6.75,7
August,6.53,8
September,5.91,9
October,4.69,10
November,3.96,11
December,3.38,12
